Postcode,Total
3550,"6,210"
3551,"7,855"
3552,22
3554,2
3555,"3,388"
3556,"2,567"
3557,176
3558,233
3559,93
3561,"1,115"
3562,87
3563,208
3564,"3,815"
3565,22
3566,137
3567,178
3568,729
3570,210
3571,88
3572,31
3573,82
3575,179
3576,15
3579,"1,220"
3580,260
3581,50
3583,43
3584,236
3585,"1,997"
3586,141
3588,105
3589,66
3590,61
3591,34
3594,156
3595,162
3596,19
3597,94
3599,28
3607,32
3608,811
3610,432
3612,509
3614,263
3616,"1,305"
3617,31
3618,194
3619,90
3620,"1,919"
3621,562
3622,102
3623,231
3624,153
3629,"1,812"
3630,"5,386"
3631,"3,423"
3632,52
3633,150
3634,442
3635,159
3636,"1,317"
3637,154
3638,532
3639,164
3640,304
3641,331
3643,63
3644,"2,335"
3646,162
3647,5
3649,106
3658,"1,421"
3659,212
3660,"1,562"
3661,37
3662,9
3663,64
3664,357
3665,114
3666,"1,325"
3669,402
3670,187
3671,144
3672,"2,327"
3673,528
3675,583
3676,152
3677,"3,741"
3678,"2,025"
3682,190
3683,493
3685,861
3687,301
3688,413
3689,110
3690,"6,610"
3691,"3,324"
3694,15
3695,129
3697,177
3698,334
3699,230
3700,360
3701,372
3704,11
3705,85
3707,598
3708,23
3709,117
3711,178
3712,86
3713,287
3714,889
3715,95
3717,889
3718,27
3719,153
3720,251
3722,"1,512"
3723,886
3724,18
3725,174
3726,119
3727,91
3728,189
3730,"2,839"
3732,185
3733,55
3735,138
3736,34
3737,997
3738,49
3739,51
3740,309
3741,888
3744,131
3746,141
3747,"1,467"
3749,712
3750,"5,155"
3751,64
3752,"3,237"
3753,"1,294"
3754,"7,383"
3755,44
3756,"2,822"
3757,"1,581"
3758,450
3759,229
3760,80
3761,262
3762,27
3763,404
3764,"1,780"
3765,838
3766,136
3767,97
3770,579
3775,736
3777,"1,833"
3778,51
3779,152
3781,514
3782,"1,081"
3783,407
3785,2
3786,190
3787,88
3788,174
3789,23
3791,159
3792,134
3793,528
3795,261
3796,"1,185"
3797,594
3799,949
3802,"3,551"
3803,"1,770"
3804,"1,444"
3805,"9,022"
3806,"8,558"
3807,"1,200"
3808,522
3809,"3,925"
3810,"8,364"
3812,502
3813,178
3814,415
3815,593
3816,555
3818,"3,290"
3820,"3,458"
3821,635
3822,185
3823,507
3824,915
3825,"3,644"
3831,463
3832,67
3833,79
3835,90
3840,"2,588"
3842,791
3844,"4,795"
3847,482
3850,"2,220"
3851,"1,687"
3852,5
3853,9
3854,318
3856,234
3857,103
3858,743
3859,211
3860,"1,368"
3862,835
3864,59
3865,142
3869,410
3870,324
3871,643
3873,86
3874,189
3875,"3,950"
3878,367
3880,"1,175"
3882,332
3885,494
3886,84
3887,118
3888,781
3889,53
3890,74
3891,49
3892,411
3893,5
3895,41
3896,78
3898,178
3900,42
3902,98
3903,198
3904,532
3909,"1,883"
3910,"3,235"
3911,584
3912,"2,386"
3913,601
3915,"1,569"
3916,340
3918,898
3919,518
3921,93
3922,"2,655"
3923,240
3925,"1,154"
3926,831
3927,502
3928,142
3929,435
3930,"2,610"
3931,"3,658"
3933,200
3934,"3,088"
3936,"2,042"
3937,414
3938,659
3939,"2,769"
3940,595
3941,"2,594"
3942,735
3943,664
3944,283
3945,287
3946,69
3950,970
3951,258
3953,"1,540"
3954,100
3956,"1,034"
3957,73
3958,52
3959,511
3960,774
3962,253
3964,40
3965,79
3966,121
3967,33
3971,932
3975,"3,596"
3976,"3,744"
3977,"19,863"
3978,"11,402"
3979,94
3980,702
3981,998
3984,"1,804"
3987,339
