2021 Postal Area (POA) Code,Usual Resident Population,Score,Decile
4737,8325 ,1000,5
4738,1155 ,1035,7
4739,340 ,981,4
4740,85500 ,998,5
4741,7346 ,1044,8
4742,1192 ,1006,6
4743,556 ,977,4
4744,9425 ,997,5
4745,2918 ,976,4
4746,1989 ,951,2
4750,6025 ,1032,7
4751,4681 ,1053,8
4753,4627 ,1083,10
4754,2505 ,1026,7
4756,655 ,952,2
4757,362 ,924,1
4798,691 ,964,3
4799,971 ,964,3
4800,10081 ,1013,6
4802,13393 ,981,4
4804,2125 ,941,2
4805,11646 ,949,2
4806,3771 ,973,4
4807,10785 ,962,3
4808,1110 ,1007,6
4809,985 ,978,4
4810,21697 ,944,2
4811,13688 ,1000,5
4812,19110 ,911,1
4814,46193 ,973,4
4815,21397 ,956,3
4816,9284 ,910,1
4817,30785 ,1008,6
4818,32004 ,1039,8
4819,2475 ,941,2
4820,10732 ,944,2
4821,1451 ,955,3
4822,779 ,1000,5
4823,961 ,1007,6
4824,3380 ,945,2
4825,19299 ,931,2
4828,236 ,833,1
4829,516 ,858,1
4830,1739 ,644,1
4849,1368 ,887,1
4850,10923 ,953,3
4852,4055 ,971,3
4854,5525 ,952,2
4855,809 ,980,4
4856,718 ,990,5
4858,1515 ,995,5
4859,528 ,941,2
4860,11316 ,909,1
4861,1541 ,928,2
4865,8623 ,1021,7
4868,22896 ,968,3
4869,20619 ,991,5
4870,73803 ,941,2
4871,10798 ,879,1
4872,4248 ,961,3
4873,6771 ,961,3
4874,5603 ,911,1
4875,7526 ,716,1
4876,2801 ,636,1
4877,5462 ,977,4
4878,15044 ,989,5
4879,21919 ,1025,7
4880,14331 ,947,2
4881,4826 ,970,3
4882,3177 ,1022,7
4883,8949 ,939,2
4884,1901 ,1006,6
4885,4021 ,983,4
4886,965 ,956,3
4887,2127 ,924,1
4888,2752 ,916,1
4890,1437 ,802,1
4891,487 ,896,1
4892,5329 ,593,1
4895,4594 ,819,1
5000,18202 ,814,1
5006,6823 ,960,3
5007,8200 ,912,1
5008,14384 ,932,2
5009,5471 ,954,3
5010,6109 ,884,1
5011,13986 ,978,4
5012,11757 ,894,1
5013,10654 ,903,1
5014,12539 ,944,2
5015,6006 ,921,1
5016,9306 ,985,4
5017,5200 ,887,1
5018,5600 ,1010,6
5019,9385 ,955,3
5020,3236 ,1040,8
5021,6768 ,1026,7
5022,16343 ,1024,7
5023,17880 ,935,2
5024,14670 ,1016,6
5025,9358 ,998,5
5031,10108 ,944,2
5032,13452 ,981,4
5033,8870 ,920,1
5034,10148 ,1017,6
5035,6364 ,948,2
5037,11702 ,949,2
5038,17401 ,947,2
5039,9202 ,955,3
5040,2508 ,993,5
5041,13540 ,1042,8
5042,11832 ,957,3
5043,20327 ,912,1
5044,11578 ,1015,6
5045,16071 ,987,5
5046,9756 ,948,2
5047,8981 ,937,2
5048,15510 ,996,5
5049,10380 ,1044,8
5050,5734 ,1054,9
5051,15130 ,1089,10
5052,6756 ,1085,10
5061,9752 ,1044,8
5062,15502 ,1058,9
5063,12742 ,995,5
5064,10756 ,1069,9
5065,10987 ,1016,6
5066,12237 ,1094,10
5067,10773 ,970,3
5068,12648 ,999,5
5069,8387 ,1010,6
5070,15393 ,967,3
5072,13937 ,1011,6
5073,16831 ,999,5
5074,14380 ,957,3
5075,11283 ,996,5
5076,9619 ,1054,9
5081,9874 ,1031,7
5082,16310 ,996,5
5083,7953 ,977,4
5084,10908 ,863,1
5085,24786 ,960,3
5086,17619 ,953,2
5087,12541 ,948,2
5088,3716 ,936,2
5089,6956 ,1065,9
5090,8184 ,983,4
5091,7872 ,1038,8
5092,18288 ,989,5
5093,9426 ,972,4
5094,912 ,938,2
5095,21372 ,972,4
5096,13765 ,981,4
5097,13908 ,1009,6
5098,13058 ,969,3
5106,99 ,866,1
5107,18636 ,947,2
5108,43329 ,907,1
5109,20748 ,950,2
5110,9345 ,967,3
5112,20445 ,836,1
5113,19570 ,802,1
5114,36847 ,960,3
5115,13032 ,937,2
5116,10731 ,960,3
5117,4051 ,1112,10
5118,19229 ,1008,6
5120,2859 ,1050,8
5121,2347 ,1011,6
5125,20405 ,1039,8
5126,7406 ,1032,7
5127,7865 ,1021,7
5131,979 ,1111,10
5132,435 ,1100,10
5133,378 ,1080,9
5134,457 ,1074,9
5136,548 ,1094,10
5137,550 ,1093,10
5138,364 ,1082,10
5139,290 ,1057,9
5140,454 ,1106,10
5141,772 ,1117,10
5142,581 ,1064,9
5144,428 ,1084,10
5150,57 ,1118,10
5151,405 ,1111,10
5152,6389 ,1110,10
5153,6732 ,1091,10
5154,3471 ,1124,10
5155,3994 ,1067,9
5156,1005 ,1097,10
5157,3015 ,1092,10
5158,25087 ,1051,8
5159,33635 ,1050,8
5161,10286 ,983,4
5162,35328 ,969,3
5163,14922 ,939,2
5164,5239 ,825,1
5165,5962 ,910,1
5166,1844 ,912,1
5167,6303 ,994,5
5168,5772 ,945,2
5169,20086 ,999,5
5170,1213 ,984,4
5171,6265 ,1045,8
5172,4189 ,1067,9
5173,13213 ,982,4
5174,3004 ,1025,7
5201,2305 ,1080,9
5202,938 ,1040,8
5203,1320 ,985,4
5204,3373 ,977,4
5210,1877 ,1059,9
5211,16845 ,973,4
5212,2251 ,989,5
5213,1298 ,1033,7
5214,9557 ,965,3
5220,155 ,930,2
5221,331 ,955,3
5222,678 ,990,5
5223,3734 ,985,4
5231,1284 ,1089,10
5232,425 ,1099,10
5233,1513 ,1049,8
5234,1376 ,1052,8
5235,2640 ,1026,7
5236,342 ,1021,7
5237,358 ,1005,6
5238,4422 ,932,2
5240,534 ,1073,9
5241,2534 ,1024,7
5242,1756 ,1063,9
5243,865 ,1084,10
5244,4451 ,1057,9
5245,3252 ,1062,9
5250,3767 ,1080,9
5251,19184 ,1013,6
5252,6783 ,1041,8
5253,19261 ,911,1
5254,2502 ,1021,7
5255,10143 ,1031,7
5256,1547 ,961,3
5259,1111 ,964,3
5260,1797 ,912,1
5261,335 ,1027,7
5262,476 ,1049,8
5263,135 ,1047,8
5264,1287 ,952,2
5265,428 ,982,4
5266,611 ,1014,6
5267,2026 ,1006,6
5268,3695 ,991,5
5269,293 ,1018,7
5270,624 ,1068,9
5271,7663 ,978,4
5272,908 ,1036,8
5273,112 ,1041,8
5275,2380 ,985,4
5276,1335 ,1008,6
5277,2885 ,969,3
5278,529 ,971,3
5279,557 ,981,4
5280,7561 ,952,2
5290,25591 ,920,1
5291,10151 ,1062,9
5301,503 ,1023,7
5302,855 ,997,5
5303,159 ,1022,7
5304,840 ,953,3
5306,72 ,1017,6
5307,560 ,947,2
5308,138 ,1012,6
5309,135 ,1039,8
5310,32 ,998,5
5311,398 ,1002,5
5320,699 ,898,1
5321,547 ,938,2
5322,942 ,988,5
5330,3376 ,939,2
5331,312 ,983,4
5332,375 ,966,3
5333,6121 ,976,4
5340,1457 ,979,4
5341,7914 ,943,2
5342,1110 ,1028,7
5343,4977 ,891,1
5344,919 ,1005,6
5345,3545 ,931,2
5346,375 ,945,2
5350,553 ,1083,10
5351,6195 ,1063,9
5352,5332 ,1017,6
5353,3922 ,1006,6
5354,416 ,907,1
5355,8281 ,1005,6
5356,799 ,1024,7
5357,442 ,953,2
5360,1229 ,1075,9
5371,1333 ,1076,9
5372,2688 ,1043,8
5373,3447 ,982,4
5374,1493 ,956,3
5381,336 ,940,2
5400,1063 ,1070,9
5401,832 ,953,2
5410,319 ,1005,6
5411,337 ,1013,6
5412,1191 ,940,2
5413,826 ,975,4
5414,134 ,1047,8
5415,247 ,1052,8
5416,209 ,990,5
5417,1501 ,958,3
5418,125 ,974,4
5419,245 ,968,3
5420,78 ,928,2
5421,135 ,928,2
5422,1662 ,859,1
5431,857 ,999,5
5432,148 ,1037,8
5433,1304 ,946,2
5434,405 ,938,2
5440,169 ,956,3
5451,702 ,1017,6
5452,452 ,1043,8
5453,5100 ,996,5
5454,391 ,968,3
5455,42 ,1029,7
5460,743 ,1007,6
5461,2598 ,955,3
5462,518 ,1001,5
5464,572 ,991,5
5470,147 ,990,5
5471,80 ,990,5
5472,186 ,969,3
5473,745 ,911,1
5480,886 ,972,4
5481,498 ,994,5
5482,482 ,1009,6
5483,342 ,1011,6
5485,667 ,985,4
5490,171 ,1065,9
5491,1797 ,989,5
5493,67 ,983,4
5495,583 ,954,3
5501,8156 ,1048,8
5502,1716 ,997,5
5510,104 ,966,3
5520,540 ,902,1
5521,147 ,965,3
5522,1511 ,944,2
5523,1944 ,966,3
5540,15241 ,893,1
5550,958 ,930,2
5552,351 ,994,5
5554,5389 ,961,3
5555,518 ,1004,6
5556,4426 ,923,1
5558,5214 ,965,3
5560,454 ,959,3
5570,597 ,950,2
5571,1978 ,951,2
5572,157 ,1043,8
5573,2206 ,950,2
5575,2391 ,975,4
5576,1133 ,958,3
5577,574 ,959,3
5580,363 ,1003,6
5581,568 ,964,3
5582,603 ,966,3
5583,838 ,936,2
5600,6150 ,969,3
5601,88 ,1062,9
5602,1349 ,974,4
5603,422 ,985,4
5604,218 ,942,2
5605,1852 ,963,3
5606,14459 ,936,2
5607,5360 ,1040,8
5608,13041 ,817,1
5609,1961 ,1001,5
5611,125 ,788,1
5630,129 ,1084,10
5631,1063 ,998,5
5632,231 ,1049,8
5633,286 ,979,4
5640,1029 ,969,3
5641,1005 ,1005,6
5642,234 ,1059,9
5650,167 ,1043,8
5651,63 ,1029,7
5652,656 ,979,4
5653,66 ,967,3
5654,230 ,967,3
5655,106 ,992,5
5660,39 ,992,5
5661,147 ,991,5
5670,494 ,953,2
5671,169 ,989,5
5680,2123 ,978,4
5690,3954 ,884,1
5700,11042 ,864,1
5701,30 ,1044,8
5710,2793 ,1025,7
5713,20 ,972,3
5715,30 ,966,3
5717,35 ,975,4
5719,61 ,983,4
5720,252 ,953,3
5722,262 ,890,1
5723,1812 ,852,1
5724,84 ,983,4
5725,3976 ,1010,6
5730,115 ,932,2
5731,234 ,867,1
5732,146 ,731,1
5733,129 ,914,1
5734,114 ,609,1
6000,13812 ,904,1
6003,3652 ,909,1
6004,11681 ,921,1
